CustomerID,Tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,InternetService,TechSupport,Churn
7590-C0001,53,Two year,Bank transfer,111.48,5690.34,DSL,No,No
7590-C0002,11,Month-to-month,Electronic check,67.29,767.39,DSL,No,Yes
7590-C0003,71,One year,Electronic check,44.86,,Fiber optic,No,No
7590-C0004,37,Two year,Electronic check,98.01,3518.0,Fiber optic,No,No
7590-C0005,10,Two year,Mailed check,70.2,670.74,No,No,No
7590-C0006,55,Month-to-month,Bank transfer,115.38,6633.44,DSL,Yes,Yes
7590-C0007,54,One year,Electronic check,49.68,2671.06,Fiber optic,No,No
7590-C0008,66,Month-to-month,Electronic check,94.84,6508.56,DSL,No,Yes
7590-C0009,13,Month-to-month,Electronic check,62.68,811.57,Fiber optic,Yes,Yes
7590-C0010,55,One year,Credit card,72.2,3896.42,DSL,Yes,No
7590-C0011,51,One year,Credit card,68.18,3361.49,DSL,No,No
7590-C0012,22,Month-to-month,Electronic check,43.48,1003.74,DSL,Yes,No
7590-C0013,31,One year,Mailed check,93.27,2900.11,DSL,No,No
7590-C0014,19,Two year,Credit card,33.81,649.79,Fiber optic,Yes,Yes
7590-C0015,29,Two year,Credit card,107.22,3115.7,DSL,No,No
7590-C0016,12,Month-to-month,Bank transfer,75.33,877.74,DSL,No,Yes
7590-C0017,25,Two year,Mailed check,35.19,870.08,No,No,No
7590-C0018,38,Month-to-month,Credit card,116.55,4217.74,No,Yes,No
7590-C0019,2,Month-to-month,Credit card,93.72,183.7,DSL,No,Yes
7590-C0020,62,Month-to-month,Mailed check,66.12,4028.71,No,No,Yes
7590-C0021,41,Month-to-month,Credit card,69.44,2897.44,DSL,Yes,No
7590-C0022,61,Month-to-month,Credit card,35.28,2072.01,No,Yes,No
7590-C0023,22,Month-to-month,Electronic check,82.87,1884.0,No,Yes,No
7590-C0024,48,Month-to-month,Electronic check,109.23,5163.67,DSL,No,Yes
7590-C0025,48,Month-to-month,Mailed check,31.77,1465.24,No,Yes,Yes
7590-C0026,69,Month-to-month,Mailed check,110.31,7364.99,DSL,No,No
