Date,Campaign,Channel,Impressions,Clicks,Spend,Conversions,Revenue,ROI
2023-03-23,Black Friday,Social Media,73896,4510,15724.77,274,28252.95,0.797
2023-01-01,Back to School,Influencer,100256,2267,1452.46,75,11689.46,7.048
2023-12-09,Spring Launch,Social Media,28397,956,3349.19,26,3625.61,0.083
2023-09-26,Summer Promo,Influencer,44342,2652,2936.26,257,41512.7,13.138
2023-12-03,Black Friday,Search Ads,11443,177,383.89,18,3042.8,6.926
2023-11-22,Holiday Extravaganza,Social Media,29988,1188,844.93,45,5219.11,5.177
2023-06-14,Back to School,Display,96235,6876,24597.29,395,63603.93,1.586
2023-05-02,Back to School,Influencer,101876,3612,2116.17,124,15880.25,6.504
2023-05-29,Black Friday,Social Media,106689,6251,2878.62,266,13561.96,3.711
2023-05-29,Black Friday,Search Ads,53090,1020,3409.5,68,2418.03,-0.291
2023-03-11,Holiday Extravaganza,Search Ads,139107,7869,19046.73,278,42201.14,1.216
2023-03-14,Summer Promo,Social Media,113140,2487,3010.71,221,27586.9,8.163
2023-08-18,Back to School,Social Media,109758,8111,8415.98,759,96955.74,10.52
2023-10-22,Spring Launch,Social Media,9392,353,469.26,25,3934.65,7.385
2023-09-29,Back to School,Social Media,68038,1202,4035.84,138,11770.86,1.917
2023-04-13,Back to School,Influencer,82120,1572,5763.58,148,12601.26,1.186
2023-10-03,Holiday Extravaganza,Display,124101,3387,6911.37,328,48812.8,6.063
2023-03-16,Black Friday,Email,48896,2006,2107.73,140,22153.59,9.511
2023-03-06,Summer Promo,Social Media,20951,858,2931.74,63,4332.75,0.478
2023-07-24,Summer Promo,Email,66629,4364,16104.68,106,10599.78,-0.342
2023-04-19,Back to School,Search Ads,83480,4223,14817.59,120,9593.12,-0.353
2023-02-24,Holiday Extravaganza,Display,136466,5930,19568.88,291,39620.71,1.025
2023-11-01,Back to School,Influencer,112505,7742,28745.28,432,18244.9,-0.365
2023-03-29,Holiday Extravaganza,Email,148574,3689,8121.36,436,38467.92,3.737
2023-11-19,Black Friday,Influencer,146881,6154,15703.39,284,36726.65,1.339
2023-06-02,Black Friday,Social Media,38145,703,1469.96,64,8247.03,4.61
2023-02-23,Back to School,Email,12829,376,896.21,9,1593.02,0.778
2023-05-16,Spring Launch,Search Ads,115487,3024,10791.94,118,10929.24,0.013
2023-08-09,Spring Launch,Influencer,110725,8285,18896.46,293,46151.63,1.442
2023-11-13,Holiday Extravaganza,Display,101279,6650,12357.77,674,109128.29,7.831
2023-11-20,Black Friday,Social Media,146412,10277,16201.6,340,19429.15,0.199
2023-11-02,Back to School,Display,127016,3414,8016.73,127,18559.46,1.315
2023-11-03,Holiday Extravaganza,Email,36795,535,1549.6,34,3076.65,0.985
