Order ID,Order Date,Customer,Segment,Category,Sub-Category,Product,Region,State,Sales,Quantity,Discount,Profit
CA-2024-216739,2022-01-26,Cust-0760,Consumer,Office Supplies,Envelopes,Envelopes Pro Series 21,West,Washington,2618.24,10,0.0,535.85
CA-2024-731262,2022-01-28,Cust-0575,Consumer,Furniture,Bookcases,Bookcases Pro Series 10,South,North Carolina,1270.23,3,0.0,239.91
CA-2023-207175,2022-04-05,Cust-0390,Consumer,Office Supplies,Art,Art Pro Series 78,Central,Michigan,1168.55,2,0.0,336.55
CA-2024-748564,2024-06-25,Cust-0371,Corporate,Furniture,Bookcases,Bookcases Pro Series 20,East,New York,2087.57,4,0.0,549.77
CA-2023-270555,2023-01-15,Cust-0364,Consumer,Furniture,Tables,Tables Pro Series 78,Central,Illinois,442.36,4,0.0,175.79
CA-2024-821590,2023-07-25,Cust-0225,Corporate,Office Supplies,Storage,Storage Pro Series 61,East,Pennsylvania,268.6,5,0.3,13.91
CA-2024-429963,2022-08-06,Cust-0672,Consumer,Technology,Accessories,Accessories Pro Series 81,South,North Carolina,4077.84,9,0.1,1200.74
CA-2023-479580,2022-08-13,Cust-0142,Corporate,Office Supplies,Binders,Binders Pro Series 90,East,New York,1435.1,3,0.0,238.06
CA-2023-724834,2023-04-25,Cust-0542,Consumer,Furniture,Bookcases,Bookcases Pro Series 92,East,New York,481.55,6,0.0,126.86
CA-2024-854639,2022-09-27,Cust-0513,Corporate,Office Supplies,Envelopes,Envelopes Pro Series 87,East,Massachusetts,417.64,4,0.2,52.14
CA-2024-100599,2023-09-06,Cust-0332,Consumer,Office Supplies,Storage,Storage Pro Series 40,East,Massachusetts,155.91,1,0.1,13.98
CA-2024-609597,2024-04-15,Cust-0071,Home Office,Furniture,Tables,Tables Pro Series 43,West,Washington,4728.36,9,0.0,959.62
CA-2024-891952,2024-01-18,Cust-0707,Consumer,Office Supplies,Storage,Storage Pro Series 66,Central,Wisconsin,2512.07,9,0.0,417.02
CA-2022-716886,2023-07-22,Cust-0236,Corporate,Office Supplies,Paper,Paper Pro Series 39,East,New York,1089.34,2,0.3,-78.74
CA-2022-392004,2023-11-17,Cust-0498,Consumer,Technology,Machines,Machines Pro Series 62,West,Arizona,855.77,4,0.1,135.7
CA-2023-589710,2024-06-03,Cust-0747,Consumer,Furniture,Bookcases,Bookcases Pro Series 23,East,New York,508.32,4,0.1,53.4
CA-2022-392075,2023-04-19,Cust-0256,Home Office,Office Supplies,Envelopes,Envelopes Pro Series 22,East,New Jersey,396.5,1,0.1,29.22
CA-2022-890170,2024-05-19,Cust-0243,Consumer,Technology,Machines,Machines Pro Series 17,South,Virginia,1854.43,3,0.5,-340.66
CA-2023-399105,2023-03-10,Cust-0714,Home Office,Technology,Accessories,Accessories Pro Series 17,South,North Carolina,11247.47,10,0.0,2568.94
CA-2022-712554,2023-05-04,Cust-0515,Home Office,Office Supplies,Paper,Paper Pro Series 33,West,California,726.19,2,0.1,93.53
CA-2022-697347,2022-09-10,Cust-0593,Corporate,Furniture,Bookcases,Bookcases Pro Series 43,East,New Jersey,1627.16,4,0.0,352.12
CA-2022-804318,2023-10-23,Cust-0308,Consumer,Furniture,Chairs,Chairs Pro Series 19,East,New York,1257.26,9,0.0,481.93
CA-2022-356150,2023-01-14,Cust-0292,Consumer,Furniture,Bookcases,Bookcases Pro Series 94,Central,Illinois,1128.55,2,0.0,201.85
CA-2022-878480,2023-07-21,Cust-0160,Consumer,Technology,Copiers,Copiers Pro Series 74,West,Oregon,3492.74,8,0.3,-269.99
CA-2024-544151,2024-04-29,Cust-0284,Consumer,Furniture,Bookcases,Bookcases Pro Series 30,Central,Texas,2701.86,8,0.0,411.81
CA-2022-824586,2022-06-02,Cust-0559,Consumer,Furniture,Chairs,Chairs Pro Series 49,Central,Texas,3245.43,6,0.2,665.88
CA-2023-320281,2023-11-30,Cust-0256,Corporate,Office Supplies,Binders,Binders Pro Series 40,Central,Wisconsin,1758.24,3,0.2,369.85
CA-2022-288073,2024-01-25,Cust-0341,Corporate,Technology,Phones,Phones Pro Series 58,South,North Carolina,1299.2,1,0.0,460.11
CA-2023-466643,2022-11-09,Cust-0234,Consumer,Technology,Phones,Phones Pro Series 45,West,Arizona,5945.42,6,0.0,2350.15
CA-2024-447235,2022-01-29,Cust-0119,Home Office,Furniture,Bookcases,Bookcases Pro Series 14,Central,Texas,727.99,2,0.0,252.33
CA-2023-735656,2023-06-08,Cust-0119,Consumer,Technology,Machines,Machines Pro Series 10,West,Oregon,12548.85,9,0.1,3135.42
CA-2024-872840,2023-11-18,Cust-0202,Consumer,Furniture,Chairs,Chairs Pro Series 48,East,Massachusetts,1763.38,9,0.0,441.9
CA-2023-681343,2022-05-11,Cust-0197,Consumer,Furniture,Bookcases,Bookcases Pro Series 61,South,North Carolina,4524.56,9,0.0,916.43
CA-2024-736130,2023-11-02,Cust-0330,Consumer,Furniture,Tables,Tables Pro Series 94,South,North Carolina,362.03,2,0.1,81.39
CA-2022-958179,2024-02-09,Cust-0241,Corporate,Technology,Phones,Phones Pro Series 41,West,Washington,7584.07,8,0.2,787.64
CA-2024-703634,2022-07-19,Cust-0736,,Technology,Phones,Phones Pro Series 23,South,Virginia,2735.28,7,0.2,448.53
CA-2023-152657,2023-07-25,Cust-0256,Home Office,Technology,Machines,Machines Pro Series 95,East,New Jersey,13345.27,9,0.1,4103.8
